image1_path,image2_path,confidence
../data/raw/worms/extracted/20250318/image_00101.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00102.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00103.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00104.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00105.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00106.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00107.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00108.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00109.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00110.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00111.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00112.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00113.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00114.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00115.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00116.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00117.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00118.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00119.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00120.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00121.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00122.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00123.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00124.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00125.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00126.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00127.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00128.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00129.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00130.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00131.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00132.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00133.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00134.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00135.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00136.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00137.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00138.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00139.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00140.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00141.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00142.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00143.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00144.npy,Not enough keypoints in query image,0.0000
